flags,utterance,category,intent
BIPMSLC,"I can't find my invoice, can you show it, please?",INVOICES,check_invoices
BLQD,ask an agent how i can open a user account,ACCOUNT,create_account
BI,how can I cancel an order?,ORDER,cancel_order
BIL,"I want to request a bill, can you tell me how to do it?",INVOICES,get_invoice
BILEC,"my account has been hacked, can i get it back?",ACCOUNT,recover_password
BILQD,can u ask an agent where i can notify a payment issue?,PAYMENT,payment_issue
BILCZ,"a error pops when I try to pay for my online order, what should I do?",PAYMENT,payment_issue
BILC,"I have a question, can you contact Client Service?",CONTACT,contact_customer_service
BSLQC,"i want information, i need help contacting client service",CONTACT,contact_customer_service
BILQC,"I have no shipping address, how can I set it up?",SHIPPING,set_up_shipping_address
BQ,I want to know how I can get an invoice,INVOICES,get_invoice
BLZ,I want to see the free no to contact Client Service,CONTACT,contact_customer_service
BSLCZ,"i want a user account, i need helpopening one",ACCOUNT,create_account
BLQ,I want to see your money back policy,REFUNDS,check_refund_policy
BILC,"I want a user account, what should I do?",ACCOUNT,create_account
BLQC,i have an issue when trying to pay and i wanna inform of it,PAYMENT,payment_issue
BILQC,"i wanna lodge a review for a service, what can i do?",FEEDBACK,review
BIML,can you tell me if I can create more than one account with the same email address?,ACCOUNT,create_account
BILQC,"the event was cancelled, what should I do to request a reimbursement?",REFUNDS,get_refund
BPLW,tell me if I could create two fucking accounts with a single email address,ACCOUNT,create_account
BILC,"I want a user account, what can I do to create one?",ACCOUNT,create_account
BIL,can you show me the free number of Customer Support?,CONTACT,contact_customer_service
BPLQDW,ask an agent if I could view the fucking status of my refund,REFUNDS,track_refund
BILC,"I want a profile, can you help me?",ACCOUNT,create_account
BILCZ,"the concert was cancelled , what swhould I do?",REFUNDS,get_refund
BIPLQW,"please, could u show me the fucking phone number of client service?",CONTACT,contact_customer_service
B,where to create an account,ACCOUNT,create_account
BLC,the event was postponed and i want to obtain a reimbursement,REFUNDS,get_refund
BSLQCZ,"someone sxtole my account password, I need help recovering it",ACCOUNT,recover_password
BLQC,I have a problem when trying to make a payment and I want to inform of it,PAYMENT,payment_issue
