utterance,topic_id,topic_label,is_new_topic
can u ask an agent to inform of issues paying?,7,Payment & Account Issues,False
can you check your refund policy?,39,Refund Policy Information,False
how do I report problems paying ?,1,Payment Problems & Reporting,False
I want to know if I can create more than one online account with an single email,13,Account Creation & Management,False
I want to know if i can register two accounts with the same email,13,Account Creation & Management,False
I wanna get information about obtaining a bill,6,Missing or Lost Bills,False
help me obtain a refund,39,Refund Policy Information,False
I want to know how I can get some invoices,3,Missing Invoices & Download Issues,False
how to see my bill,6,Missing or Lost Bills,False
"please, could u ask an agent if I could see some invoices?",35,Invoice Support Requests,False
"I forgot ym password, how can I reset it?",12,Password Recovery & Account Access,False
i need help opening a user account,2,Account Creation Problems,False
show me the mail address of the Client Service,20,Customer Support & Contact,False
i want to know what the mail to contact Customer Service is,14,Customer Support Contact Info,False
"I have a problem when trying to pay, what can I do to inform of it?",1,Payment Problems & Reporting,False
"I don't have a profile, how do I create one?",2,Account Creation Problems,False
"I have an issue when trying to make a payment, I need help notifying it, please",1,Payment Problems & Reporting,False
tell me where to track my orders,-1,Outlier/Noise,False
where can I obtain a reimbursement?,51,Reimbursement Requests,True
how can I view the cancellation fees?,19,Cancellation Fees and Penalties,False
"i have no profile, can u help me?",2,Account Creation Problems,False
"I don't want my user account, how do I cancel it ?",8,Account Deletion & Cancellation,False
I need help checking my orders,0,Package Tracking & Delivery Status,False
I want to know what the mail address to contact Client Service is,20,Customer Support & Contact,False
I want to request information about seeing some invoices,3,Missing Invoices & Download Issues,False
I can't remember my account password and I want to recover it,12,Password Recovery & Account Access,False
"you're not helping, contact a human agent",24,Customer Support & Communication,False
could u ask an agent where to change my fucking order?,50,Order Modification and Cancellation,True
"please, could u ask an agent how I could check my shipments?",29,Customer Service Contact Information,False
could I view the fucking cancellatyion fee?,19,Cancellation Fees and Penalties,False
i wanna report problems paying,1,Payment Problems & Reporting,False
"I have a question, can I talk to Client Service?",20,Customer Support & Contact,False
how to check my packages,30,Payment Processing & Billing Errors,False
I'm happy with the service and I want to oldge a comment,11,Customer Reviews and Feedback,False
"I have an issue when trying to pay for my order, what should I do to report it?",15,Online Payment Problems,False
where do i see your money back policy?,37,Refund Requests & Policies,False
"an error poos when I try to make a payment, what can I do?",34,Payment Error & Checkout Issues,False
ask an agent if my package is out for delivery,29,Customer Service Contact Information,False
"i want ot download some invoices, can you show me some information?",3,Missing Invoices & Download Issues,False
"I want information, can I call Customer Service?",20,Customer Support & Contact,False
"I want to get a reimbursement, what can I do?",51,Reimbursement Requests,True
I want to notify problems with my paymen,1,Payment Problems & Reporting,False
"I get an error when I try to pay for my order, what do I have todo?",36,Order Placement Errors,False
"I'd ilke to report a payment problem, what can I do?",1,Payment Problems & Reporting,False
"i want to view the ticket delivery options, what can i do?",-1,Outlier/Noise,False
show me the email of Customer Support,14,Customer Support Contact Info,False
"the game was cancelled, what do i have to do to get a reimbursement?",10,Event Cancellation and Refunds,False
"I have a problem when trying to make a payment with card, what can I do to inform of it?",16,Card Payment Issues,False
"please, could you tell me if i could create several user accounts with the same email address?",13,Account Creation & Management,False
"you arent helping, could i talk to someone?",9,Human Interaction Support,False
i purchased an item and id like to change my order,5,Order Modifications & Changes,False
"I have an issue making a payment with card, I need help notifying it",16,Card Payment Issues,False
"can you find information about the fucking mail to contact Customer Service, please?",14,Customer Support Contact Info,False
"the concert was postponed, how do I request a reimbursement?",10,Event Cancellation and Refunds,False
"you aren't helping, what can I do to contact a person?",9,Human Interaction Support,False
i want to know if i can register more than one profile with a single email address,25,Multiple Account Management,False
how to request an invoice,3,Missing Invoices & Download Issues,False
can you tell me if there is a free phone number to contact Client Service?,20,Customer Support & Contact,False
"I want to check my orders, tell me where I can do it",0,Package Tracking & Delivery Status,False
"i have a problem paying with card, what can ido?",45,Card Payment Issues,True
I want to see the hours of Customer Service,20,Customer Support & Contact,False
"the show was postponed, how do I request a reimbursement?",10,Event Cancellation and Refunds,False
I want to retrieve my account password,12,Password Recovery & Account Access,False
what can you tell me about downloading an invoice?,3,Missing Invoices & Download Issues,False
"I want to see some bills, can you show me some information?",6,Missing or Lost Bills,False
"the event was ostponed, how can I request a refvund?",10,Event Cancellation and Refunds,False
"I want to request an invoice, can you show me some information?, please",3,Missing Invoices & Download Issues,False
"I want to use my other account, change them",38,Account Switching and Preferences,False
i wanna know the status of my reimbursement and i wanna trackit,4,Refund & Reimbursement Policy,False
"i want to create an online account, can u help me?",2,Account Creation Problems,False
"I have a problem making a payment with card, what can I do to inform of it?",16,Card Payment Issues,False
"I want information, speak with Customer Service",20,Customer Support & Contact,False
ask an agent how to notify an issue paying,7,Payment & Account Issues,False
i need help getting a reimbursement,51,Reimbursement Requests,True
where can I request a reimbursement?,51,Reimbursement Requests,True
can i register two accounts with a single email?,13,Account Creation & Management,False
"I want to download an invoice, can you tell me how to do it?",3,Missing Invoices & Download Issues,False
"I can't understand you, what do I have to do to talk to a person?",44,Requesting Human Agent Transfer,True
"I have no account, what do I have to do?",2,Account Creation Problems,False
"I got an error message when I tried to pay, but my card was charged anyway, help me inform of it",22,Payment & Billing Errors,False
"i wanna track my shipment, tell me how I can d it",43,Delivery Tracking,True
can u ask an agent what the email address of the Customer Support?,20,Customer Support & Contact,False
"I bought an item, what do I have to do to modify my purchase?",5,Order Modifications & Changes,False
could i own more than one user account?,13,Account Creation & Management,False
how to report problems making a payment,1,Payment Problems & Reporting,False
"I didn't receive my invoice, what should I do to check it?",3,Missing Invoices & Download Issues,False
"i changed my midn, close my user account",42,Account Cancellation,False
"I haven't got a user account, can I create one?",2,Account Creation Problems,False
"please, could you tell me if I could register several accounts with a single email address?",13,Account Creation & Management,False
I want to know f I can request a bill,6,Missing or Lost Bills,False
"I don't understand you, how do I speak with a human agent?",24,Customer Support & Communication,False
can you show me the mail address of Customer Service?,14,Customer Support Contact Info,False
"I didn't receive my bills, check them",40,Missing Bill Access & Viewing,False
I want to know if there is a free phone number to contact Customer Support,20,Customer Support & Contact,False
can u ask an agent for information about my invoice?,35,Invoice Support Requests,False
tell me where I can check my packages,30,Payment Processing & Billing Errors,False
can you show me information about the delvery options?,30,Payment Processing & Billing Errors,False
how to make a consumer complaint for a service,27,Consumer Complaint Submission,False
"I'm happy with the service, help me lodge a comment",11,Customer Reviews and Feedback,False
cam you show me information about the mail of the Customer Support?,14,Customer Support Contact Info,False
I want to know how to check my deliveries,43,Delivery Tracking,True
"the show was postponed, what do i have to do to obtain a reimbursement?",10,Event Cancellation and Refunds,False
can u ask an agent how to see the cancellation penalties?,-1,Outlier/Noise,False
how can I solve a problem with my payment?,1,Payment Problems & Reporting,False
how to solve problems making a payment,1,Payment Problems & Reporting,False
"could u ask an agent how i can leave a fucking comment for a service, please?",11,Customer Reviews and Feedback,False
"please, could you ask an agent how I could know where my package is?",29,Customer Service Contact Information,False
"you aren't helping, how can I contact a person?",9,Human Interaction Support,False
"I got an error message when I attempted to make a payment, but my card was charged anyway, can you help me?",52,Payment Error & Accidental Charge,True
can u show me the phone number of customer support?,20,Customer Support & Contact,False
"I would like information and I'd like to speak with Client Service, please",20,Customer Support & Contact,False
"you arent helping, i need help speaking with someone",9,Human Interaction Support,False
"I have an issue paying for my online order, what can I do?",46,Online Payment Issues,True
"please, can you obtain some bills?",6,Missing or Lost Bills,False
"I got an error message when I attempted to pay, but my card was charged anyway, report it",-1,Outlier/Noise,False
"my online account has been hacked, could I get it back?",33,Email & Contact Information,False
"I have a problem when trying to make a payment with card, how do I report it?",16,Card Payment Issues,False
"i have an issue when trying to make a payment, how can i notify it?",1,Payment Problems & Reporting,False
help me inform of problerms making a payment,1,Payment Problems & Reporting,False
"I didn't receive my invoices, what do I have to do to check them?",3,Missing Invoices & Download Issues,False
I don't like the service and I want to lodge a complaint,18,Consumer Complaints and Dissatisfaction,False
"im not happy with the service, i need help making a complaint",18,Consumer Complaints and Dissatisfaction,False
"I want totrack my purchase, what do I have to do ?",0,Package Tracking & Delivery Status,False
"i need information, how can i call client service?",20,Customer Support & Contact,False
i want to see the mail address of the Customer Support,14,Customer Support Contact Info,False
"an error pops when i attempt to pay with card, what do i have to do?",34,Payment Error & Checkout Issues,False
change my purchase,5,Order Modifications & Changes,False
can I view my bill?,6,Missing or Lost Bills,False
"I don't like the service, what should I do to file a consumer complaint?",18,Consumer Complaints and Dissatisfaction,False
"please , could ask an agent how i could retrieve my password?",12,Password Recovery & Account Access,False
help me send an email to fucking customer service,14,Customer Support Contact Info,False
can you tell me iof I can register two user accounts with the same meail address?,13,Account Creation & Management,False
tell me how to see some invoices,3,Missing Invoices & Download Issues,False
i wanna know if i can have several user accounts,13,Account Creation & Management,False
"I purchased an item, what can I do to change my order?",5,Order Modifications & Changes,False
"I'm interested in your money back policy, can you tell me about it?",37,Refund Requests & Policies,False
"I wanna request a bill, tell me how to do it",6,Missing or Lost Bills,False
I want information aboutthe cancellation fee,19,Cancellation Fees and Penalties,False
"the concert was postponed, what should I do?",10,Event Cancellation and Refunds,False
"I have an issue when trying to pay and I'd like to inform of it, please",1,Payment Problems & Reporting,False
how do I get a refund?,39,Refund Policy Information,False
how do I notify a problem making a payment?,1,Payment Problems & Reporting,False
"i havent got a user account, what should i do to open one?",2,Account Creation Problems,False
"i wanna view the cancellation fee, what do i have to do?",19,Cancellation Fees and Penalties,False
"I want to know the status of my refund, how can I track it?",39,Refund Policy Information,False
"I have an issue when trying to make a payment with card, can you help me?",16,Card Payment Issues,False
can you tell me the fucking free number of Client Service?,20,Customer Support & Contact,False
can I check your money back policy?,37,Refund Requests & Policies,False
can you see a bill?,6,Missing or Lost Bills,False
"i wanna check your payment methods, can u help me?",47,Payment Methods,True
"the concert was cancelled, help me request a reimbursement",10,Event Cancellation and Refunds,False
could i create several profiles with the same email?,25,Multiple Account Management,False
"I have an issue when trying to pay with card, I need help reporting it",45,Card Payment Issues,True
i want to know what the number of Customer Service is,20,Customer Support & Contact,False
can i check my invoices?,3,Missing Invoices & Download Issues,False
"I want to lodge a consumer complaint, can you help me?",27,Consumer Complaint Submission,False
I changed my mind and I want to close my account,42,Account Cancellation,False
I need information about getting an invoice,3,Missing Invoices & Download Issues,False
I need help contacting a human,9,Human Interaction Support,False
"i got an error when i attempted to pay, but i was charged anyway, can i report it?",41,Profile Deletion Request,False
"you arent helping, how do i talk to someone?",9,Human Interaction Support,False
"the concert was cancelled, how do i requesr an refund?",10,Event Cancellation and Refunds,False
"I want to change the information on my profile, how can I do it?",48,Profile Management & Editing,True
"you aren't helping, what should I do to contact someone?",9,Human Interaction Support,False
I want to know where I can download a bill,21,Bill Downloading Help,False
"I need an online account, can I open one?",2,Account Creation Problems,False
how could I request a reimbursement?,51,Reimbursement Requests,True
"i have an issue paying for my order, can i inform of it?",15,Online Payment Problems,False
"i have a problem paying for my online order, inform of it",46,Online Payment Issues,True
"please, can you tell me what the email address of client service is?",20,Customer Support & Contact,False
how can I see your payment options ?,47,Payment Methods,True
ask an agent how i can report issues making a payment,7,Payment & Account Issues,False
"please, ask an agent to report an issue paying",7,Payment & Account Issues,False
"I have a problem paying, what should I do?",1,Payment Problems & Reporting,False
"I want to subscribe to the newsletter, can you tell me where to do it?",28,Newsletter Subscriptions & Updates,False
how to change to another account,38,Account Switching and Preferences,False
I'm having a problem when trying to create an account,2,Account Creation Problems,False
"I got an error message when I attempted to pay, but I was charged anyway, inform of it",41,Profile Deletion Request,False
"the concert was cancelled, how can I get a refund?",10,Event Cancellation and Refunds,False
i wanna know where I can get an invoice,3,Missing Invoices & Download Issues,False
"the concert was cancelled, what should I do to obtain a refund?",10,Event Cancellation and Refunds,False
can oyu speak with Customer Seevice?,20,Customer Support & Contact,False
"please, could you ask an agent to change my purchase before they send it?",50,Order Modification and Cancellation,True
I want toknow how to obtain a bill,6,Missing or Lost Bills,False
"can you ask an agent how I can check the status of my refund, please?",4,Refund & Reimbursement Policy,False
can i have several accounts?,13,Account Creation & Management,False
how can I make changes to my shipping address?,32,Shipping Address Management,False
"I have an issue when trying to pay for my order, can you inform of it?",15,Online Payment Problems,False
you arent helping and i wanna speak with a human agent,24,Customer Support & Communication,False
I need help speaking with a human agent,24,Customer Support & Communication,False
"I have a problem paying , what do I have to do to inform of it?",1,Payment Problems & Reporting,False
"i want to use my other online account, switch them",38,Account Switching and Preferences,False
"I wanna check my packages, tell me how to do it",30,Payment Processing & Billing Errors,False
i have a problem paying for my order and i wanna inform of it,15,Online Payment Problems,False
could you ask an agent to report a fucking issue making a payment?,7,Payment & Account Issues,False
"the concert was postponed, what should I do to obtain a reimbursement?",10,Event Cancellation and Refunds,False
"i havent got a user account, what do i have to do to create one?",2,Account Creation Problems,False
"the concert was cancelled, how can I obtain a refund?",10,Event Cancellation and Refunds,False
"i want to download a bill, can you tell me where to do it?",21,Bill Downloading Help,False
"could you ask an agent if I can cancel my online account, please?",17,Account Profile & Agent Changes,False
"I can't remember my password, what do I have to do?",12,Password Recovery & Account Access,False
"I lost my account pasword,help me retrieve it",12,Password Recovery & Account Access,False
"i dont want my account, i need help deleting it",8,Account Deletion & Cancellation,False
"I want to submit a complaint, what do I have to do?",27,Consumer Complaint Submission,False
"I lost my password, can I reset it?",12,Password Recovery & Account Access,False
"my profile's been hacked, what should I do?",-1,Outlier/Noise,False
help me make a complaint for a service,27,Consumer Complaint Submission,False
"I purchased a product, how do I modify my order?",5,Order Modifications & Changes,False
"i bought something, help me modify my purchase",5,Order Modifications & Changes,False
help me see my bills,6,Missing or Lost Bills,False
could u ask an agent how i can report payment issues?,7,Payment & Account Issues,False
where to check my orders,0,Package Tracking & Delivery Status,False
could you ask an agent if I could obtain a reimbursement?,4,Refund & Reimbursement Policy,False
"the game was cancelled, help me request a refund",10,Event Cancellation and Refunds,False
show me the cancellation fee,19,Cancellation Fees and Penalties,False
"I got an error when I attempted to pay, but I was charged anyway, how can I report it?",41,Profile Deletion Request,False
how can I speak with Customer Servbice?,20,Customer Support & Contact,False
I need help getting a fucking refund,39,Refund Policy Information,False
can I create two accounts with a single email?,13,Account Creation & Management,False
"can u ask an agent where i could cancel my online account, please?",17,Account Profile & Agent Changes,False
"I want to use my other account, help me switch them",38,Account Switching and Preferences,False
can i register two online accounts with a single email address?,13,Account Creation & Management,False
I want to know if there's a newsletter to stay up-to-date,28,Newsletter Subscriptions & Updates,False
help me write a review,11,Customer Reviews and Feedback,False
"i got an error when i tried to pay, but my card was charged anyway, what should i do to report it?",-1,Outlier/Noise,False
"I want to submit an opinion for a service, can you help me?",11,Customer Reviews and Feedback,False
"I want information, can I contact Customer Support?",20,Customer Support & Contact,False
"ask an agent what their fucking reimbursement policy is, please",4,Refund & Reimbursement Policy,False
"I have a question, can I call Customer Service?",20,Customer Support & Contact,False
how to track my purchase,0,Package Tracking & Delivery Status,False
I want to know if I can create more than one account with a single email,13,Account Creation & Management,False
"I have an issue when trying to pay, how do I inform of it?",1,Payment Problems & Reporting,False
"please, can you show me information about the mail of the Customer Service?",14,Customer Support Contact Info,False
"i want to get a bill, can you tell me where I can do it?",6,Missing or Lost Bills,False
"I have a question, help me call Customer Service",20,Customer Support & Contact,False
"I need an account, can you open one?",2,Account Creation Problems,False
I need help modifying my order,5,Order Modifications & Changes,False
"I purchased an item, what can i do to modify my purchase?",5,Order Modifications & Changes,False
"I'm discontent with the service, can you make a complaint?",18,Consumer Complaints and Dissatisfaction,False
can u ask an agent to contact client service?,20,Customer Support & Contact,False
"my online account was hacked, can you recover it?",33,Email & Contact Information,False
chdck my invoices,3,Missing Invoices & Download Issues,False
"I want to request an invoice, can you give me some information?",3,Missing Invoices & Download Issues,False
how can I check my invoices?,3,Missing Invoices & Download Issues,False
where to track my fucking reimbursement,4,Refund & Reimbursement Policy,False
"could you ask an agent to find information about their fucking reimbursement policy, please?",4,Refund & Reimbursement Policy,False
ask an agent how i could cancel an order,50,Order Modification and Cancellation,True
ask an agent how i can send an email to client service,20,Customer Support & Contact,False
ask an agent to give me information about the delivery options,29,Customer Service Contact Information,False
"i havent got a fucking user account, can u create one, please?",2,Account Creation Problems,False
"I didn't receive my invoice, what should I do to see it?",3,Missing Invoices & Download Issues,False
"I can't find my invoice, what can I do to see it?",3,Missing Invoices & Download Issues,False
how can I lodge a consumer complaint for a service?,27,Consumer Complaint Submission,False
"i wanna cancel my online account, how can i do it?",8,Account Deletion & Cancellation,False
I need help deleting my ser account,8,Account Deletion & Cancellation,False
can you tell me what the email of the Client Service is?,20,Customer Support & Contact,False
can I check the cancellation penalty?,49,Cancellation Penalties,True
"the concert was acncelled, get a refund",10,Event Cancellation and Refunds,False
help me talk to Client Service,20,Customer Support & Contact,False
ask an agent if i can remove my profile,17,Account Profile & Agent Changes,False
how to report problems paying,1,Payment Problems & Reporting,False
how to check the options for delivery,30,Payment Processing & Billing Errors,False
"I have an issue paying, what do I have to do to notify it?",1,Payment Problems & Reporting,False
where can i create an account?,2,Account Creation Problems,False
"I don't watn my online account, what do I have to do to cancel it?",8,Account Deletion & Cancellation,False
ask an agent if i can make a purchase,-1,Outlier/Noise,False
"I've got no user account, open one",2,Account Creation Problems,False
i wanna ese the email to contact customer service,14,Customer Support Contact Info,False
can u ask an agent how I can check my shipment?,29,Customer Service Contact Information,False
i want to see the mail to contact Customer Service,14,Customer Support Contact Info,False
"the event was postponed, what should i do to request a refund?",10,Event Cancellation and Refunds,False
"I don't understand you, how can I speak with a human?",44,Requesting Human Agent Transfer,True
I want to know how I can know where my delivery is,43,Delivery Tracking,True
"I want to submit an opinion for a service, what should I do?",11,Customer Reviews and Feedback,False
"please, can you ask an agent how I oclud check the status of my reimbursement?",4,Refund & Reimbursement Policy,False
can I lodge a complaint for a service?,27,Consumer Complaint Submission,False
tell me if I can see some bills,6,Missing or Lost Bills,False
"could you ask an agent if I can inform of an issue with my payment, please?",7,Payment & Account Issues,False
i dont understand you and i want to talk to a human,44,Requesting Human Agent Transfer,True
"i changed my mind, can i delete my profile?",31,Compromised Account Recovery,False
can you ask an agent how I could get a fucking refund?,-1,Outlier/Noise,False
I would like to lodge a fucking complaint for a servioce,27,Consumer Complaint Submission,False
I can't understand you and I want to speak with a person,44,Requesting Human Agent Transfer,True
"I lost my account password, what should I do?",12,Password Recovery & Account Access,False
how do I view the status of my order?,-1,Outlier/Noise,False
"the event was cancelled, help me get a refund",10,Event Cancellation and Refunds,False
where can I change my order?,5,Order Modifications & Changes,False
I want to know how to subscribe to the newsletter,28,Newsletter Subscriptions & Updates,False
"I want an online account, what should I do to create one?",2,Account Creation Problems,False
show me the hours of Customer Service,20,Customer Support & Contact,False
"I don't understand you, I need help speaking with a person",44,Requesting Human Agent Transfer,True
what's the mail address of Client Service?,20,Customer Support & Contact,False
how to inform of payment problems,1,Payment Problems & Reporting,False
"I forgot my account password, what can I do?",12,Password Recovery & Account Access,False
"I cannot understtand you and I want to talk to someone, please",9,Human Interaction Support,False
is there a newsletter I can subscribe to?,28,Newsletter Subscriptions & Updates,False
what can you tell me about obtaining some bills?,6,Missing or Lost Bills,False
i wanna change my shipping address,32,Shipping Address Management,False
"I can't understand you, I need help talking to a human agent",24,Customer Support & Communication,False
ask an agent how to inform of a problem making a payment,7,Payment & Account Issues,False
"I have a problem when trying to pay for my online order, can I inform of it?",46,Online Payment Issues,True
help me modify my profile,48,Profile Management & Editing,True
how do I get an invoice?,3,Missing Invoices & Download Issues,False
ask an agent how i can inform of an issue making a payment,7,Payment & Account Issues,False
"the concert was postponed, can I obtain a refund?",10,Event Cancellation and Refunds,False
"the event was postponed, what do I have to do to get an reimbursement?",10,Event Cancellation and Refunds,False
i want to know what the mail address of client service is,20,Customer Support & Contact,False
"i purchased a product and I want to change my purchase, please",5,Order Modifications & Changes,False
where to check my invoice,3,Missing Invoices & Download Issues,False
"im not happy with the service, can u make a consumer complaint?",18,Consumer Complaints and Dissatisfaction,False
"I have an issue when trying to pay, help me report it",1,Payment Problems & Reporting,False
i wanna know what the number to contact Customer Service is,20,Customer Support & Contact,False
"I want to place an order, what should I do?",-1,Outlier/Noise,False
"I don't understand you , I need help contacting a human",44,Requesting Human Agent Transfer,True
can you check your reimbursement policy?,-1,Outlier/Noise,False
"I want information , contact Customer Support",20,Customer Support & Contact,False
"I don't understand you , can I speak with a human?",44,Requesting Human Agent Transfer,True
"my online account's been hacked, can I recover it?",33,Email & Contact Information,False
could you ask an agent if I can inform of a problem with my payment?,7,Payment & Account Issues,False
"I have an issue paying with card, what should I do to inform of it?",45,Card Payment Issues,True
u are not helping and i wanna talk to a human agent,24,Customer Support & Communication,False
can u ask an agent how to call customer service?,20,Customer Support & Contact,False
"could u ask an agent how i could talk to client service, please?",20,Customer Support & Contact,False
could u ask an agent if i can view the status of my refund?,4,Refund & Reimbursement Policy,False
can I reset my fucking password?,12,Password Recovery & Account Access,False
"you're not helping, can I talk to someone?",9,Human Interaction Support,False
how can I inform of an issue with my payment?,1,Payment Problems & Reporting,False
"I have no account, can you open one?",2,Account Creation Problems,False
ask an agent to write a comment,11,Customer Reviews and Feedback,False
I want to know if I can own several profiles,25,Multiple Account Management,False
"help me create a profile,please",2,Account Creation Problems,False
"you're not helping , can you speak with a person?",9,Human Interaction Support,False
"ive got no account, can u open one?",2,Account Creation Problems,False
"i have an issue paying with card, what should i do to report it?",45,Card Payment Issues,True
is Client Service available?,20,Customer Support & Contact,False
can u ask an agent where i can view the cancellation fees?,-1,Outlier/Noise,False
"my online account's been hacked, help me recover it",33,Email & Contact Information,False
"I need a reimbursement, obtain one",51,Reimbursement Requests,True
i want to solve problems making a payment,1,Payment Problems & Reporting,False
"I want to change my purchase, can you tell me where I can do it?",5,Order Modifications & Changes,False
"I didn't get a payment validation, can you help me?",1,Payment Problems & Reporting,False
"i want a reimbursement, how can i request one?",51,Reimbursement Requests,True
id like to view the cancellation penalty,49,Cancellation Penalties,True
wher to register,2,Account Creation Problems,False
how do I view my invoices?,3,Missing Invoices & Download Issues,False
"I have an issue when trying to pay with card, can you report it?",45,Card Payment Issues,True
where do I get a reimbursement?,51,Reimbursement Requests,True
can I make an order?,-1,Outlier/Noise,False
"I have an issue when trying to make a payment with card, how can I inform of it?",16,Card Payment Issues,False
"I need information, send an email to Customer Support",14,Customer Support Contact Info,False
"I want to make an order, can you help me?",29,Customer Service Contact Information,False
"my online account has been hacked, i need help getting it back, please",33,Email & Contact Information,False
"you arent helping and i wanna talk to a human, please",9,Human Interaction Support,False
"i want information, how do i talk to fucking customer support?",20,Customer Support & Contact,False
help me close my profile,31,Compromised Account Recovery,False
"the game was cancelled, how do I get a refund?",10,Event Cancellation and Refunds,False
ohw to speak with Customer Support,20,Customer Support & Contact,False
"I got an error message when I attempted to make a payment, but my card was charged anyway, notify it",52,Payment Error & Accidental Charge,True
"an error message pops when I try to pay for my order, what ahould I do?",36,Order Placement Errors,False
"i wanna lodge a consumer complaint, what should i do?",27,Consumer Complaint Submission,False
can you ask an agent if i can download a bill?,21,Bill Downloading Help,False
where do I notify an issue paying?,1,Payment Problems & Reporting,False
"I need information, what do I have to do to talk to Customer Support?",20,Customer Support & Contact,False
i wanna see the no to contact customer support,20,Customer Support & Contact,False
"I don't like the service, what do I have to do to submit a complaint?",18,Consumer Complaints and Dissatisfaction,False
information about the email of the Customer Service,14,Customer Support Contact Info,False
I want to know if I can obtain some bills,6,Missing or Lost Bills,False
"I forgot my password, retrieve it, please",12,Password Recovery & Account Access,False
"I bought a product, how do I change my purchase?",5,Order Modifications & Changes,False
information about the cancellation fees,19,Cancellation Fees and Penalties,False
how to update my profile,48,Profile Management & Editing,True
I can't find my fucking invoices and I would like to view them,3,Missing Invoices & Download Issues,False
is it possible ot check my package?,30,Payment Processing & Billing Errors,False
"I don't understand you, what do I have to do to contact a human?",-1,Outlier/Noise,False
I need help writing a fucking comment,11,Customer Reviews and Feedback,False
"please, i want to know if i can register more than one account with a single email",13,Account Creation & Management,False
"i cant remember my account password, what do i have to do to retrieve it?",12,Password Recovery & Account Access,False
"I want to update my shipping address, what can I do?",32,Shipping Address Management,False
"I haven't got an online account, what do I have to do to register?",2,Account Creation Problems,False
can i view the delivery options?,30,Payment Processing & Billing Errors,False
"I purchased something, what can I do to modify my purchase?",5,Order Modifications & Changes,False
ask an agent where to notify issues with my payment,7,Payment & Account Issues,False
"could u ask an agent where i could report a problem making a payment, please?",7,Payment & Account Issues,False
"I got an error message when I tried to make a payment, but I was charged anyway, can you notify it?",26,Failed Transaction Attempts & Charges,False
I need information about the ticket delivery options,-1,Outlier/Noise,False
"I have a problem paying, what do I have to do to notify it?",1,Payment Problems & Reporting,False
"u are not helping, how can i speak with a human agent?",24,Customer Support & Communication,False
"I want to see my invoices, what do I have to do?",3,Missing Invoices & Download Issues,False
"can u ask an agent how to remove my user account, please?",17,Account Profile & Agent Changes,False
"I changed my mind, what should I do to closd my user account?",42,Account Cancellation,False
can you tell me if i can create several online accounts with a single email address?,13,Account Creation & Management,False
"you arent helping, how can i talk to someone?",9,Human Interaction Support,False
"I got an error message when I tried to pay, but my card was charged anyway and I want to notify it",22,Payment & Billing Errors,False
"my fuckingonline account's been hacked, can u help me?",33,Email & Contact Information,False
can you ask an agent where I can obtain an invoice?,35,Invoice Support Requests,False
how do I modify my purchase?,5,Order Modifications & Changes,False
"do you mind asking an agent how I could check my fucking shipments, please?",29,Customer Service Contact Information,False
"I haven't got a profile, what should I do?",2,Account Creation Problems,False
