utterance,category
"please, could u ask an agent where i can view their fucking payment methods ?",PAYMENT
someone stole my password and I want to recover it,ACCOUNT
"the show was cancelled, how can I get a refund?",REFUNDS
"I changed my mind, how do I cancel my account?",ACCOUNT
"I want to download an invoice, tell me where to do it",INVOICES
can u ask an agent where i can check the ticket delivery options?,DELIVERY
"I would like to track my orders, tell me how I can do it, please",ORDER
what's the email address of Customer Service?,CONTACT
I want to see the number of Client Service,CONTACT
can you tell me the free number to contact Customer Service?,CONTACT
"I got an error when I attempted to make a payment, but I was charged anyway, what can I do to report it?",PAYMENT
i want to inform of a payment problem,PAYMENT
could you ask an agent how to report problems with my payment?,PAYMENT
"could u ask an agent if i could inform of payment issues, please?",PAYMENT
do I get a full refund if I cancel my tickets?,REFUNDS
"I don't want my account, can you delete it?",ACCOUNT
how can I speak with a person?,CONTACT
ask an agent where i can check the options for ticket delivery,DELIVERY
"the game was postponed, help me get a reimbursement",REFUNDS
"I got an error when I tried to pay, but my card was charged anyway and I want to notify it",PAYMENT
"I want to solve a problem with my payment, what do I have to do?",PAYMENT
"please, ask an agent how I could notify issues making a payment",PAYMENT
"I can't remember my password, what can I do to recover it?",ACCOUNT
i need help seeing a bill,INVOICES
"I can't find my invoices, can you check them?",INVOICES
"I have an issue making a payment with card, help me notify it",PAYMENT
"I want to change my order, can you tell me how I can do it?",ORDER
how to view the cancellation penalties,CANCELLATION_FEE
"I haven't got a user account, I need help creating one",ACCOUNT
how can I inform of issues with my payment?,PAYMENT
"I want to view your money back policy, what can I do?",REFUNDS
"I don't understand you, can you contact a person?",CONTACT
could u ask an agent for information about obtaining some fucking bills?,INVOICES
I ordered a product and i wanna change my purchase,ORDER
"i dont like the service, what do i have to do to lodge a consumer complaint?",FEEDBACK
I'm having issues when trying to create a profile,ACCOUNT
"an error message pops when I try to pay, what can I do?",PAYMENT
"I'm discontent with the service, how do I submit a consumer complaint?",FEEDBACK
i want to report a problem paying,PAYMENT
i dont want my online account and i wanna close it,ACCOUNT
i wanna see the phone number to contact customer support,CONTACT
"I want to ifle a comment , what can I do?",FEEDBACK
"I have an issue paying, I need help informing of it",PAYMENT
"I'm not happy with the service, can I make a consumer complaint?",FEEDBACK
"I have a problem paying with card, can you help me?",PAYMENT
"I ordered an item, can I modify my order?",ORDER
"can you tell me what the phone number of Customer Service is, please?",CONTACT
I want to know how I can see a bill,INVOICES
i have a question and i want to talk to client service,CONTACT
"i am happy with the service, what should i do to lodge a reiew?",FEEDBACK
"the game was postponed, could i obtain a fucking reimbursement, please?",REFUNDS
tell me if I can own more than one online account,ACCOUNT
can you tell me how to track my order?,ORDER
"I want information, what should I do to call Client Service?",CONTACT
can you tell me if I can create more than one account with a single email?,ACCOUNT
"can u ask an agent if theres a newsletter i can receive, please?",NEWSLETTER
"I got an error message when I tried to pay, but I was charged anyway, how do I notify it?",PAYMENT
"the concert was postponed, how could I obtain a reimbursement?",REFUNDS
can u ask an agent to recover my password?,ACCOUNT
I want to know how I can track my shipments,ORDER
"i dont have an online account, what do i have to do to open one?",ACCOUNT
"my shipping address has changed, hat can Ido?",SHIPPING
"i want to use my otheraccount, what should i do to switch them?",ACCOUNT
"I got an error message when I tried to make a payment, but I was charged anyway, what do I have to do?",PAYMENT
telll me if i can check my fucking shipment,ORDER
cxould you tell me if i can have several online accounts?,ACCOUNT
ask an agent to notify a problem making a payment,PAYMENT
"I made a mistake, can u ask an agent to change my purchase?",ORDER
"I want to see some invoices, can you show me some information?",INVOICES
"I don't have an account, what can I do to register?",ACCOUNT
"I have no user account, how do I register ?",ACCOUNT
help me check my bill,INVOICES
tell me where to modify my purchase,ORDER
can I cancel an order?,ORDER
can I see the options for delivery?,DELIVERY
"I got an error message when I attempted to make a payment, but my card was charged anyway, help me inform of it",PAYMENT
"I lost my bills , help me check them",INVOICES
"could u ask an agent how i could inform of fucking problems making a payment, please?",PAYMENT
can you tell me how I can obtain a bill?,INVOICES
"I forgot my account passsord, can you retrieve it?",ACCOUNT
tell me how I can get some bills,INVOICES
ask an agent where to leae a comment,FEEDBACK
"could you tell me if i could register several fucking profiles with the saem email, please?",ACCOUNT
where do i lodge a complaint for a service?,FEEDBACK
"an error pops when I try to make an payment for my order, what should I do?",PAYMENT
"my user account's been hacked, how can I get it back?",ACCOUNT
I want to know if I can register more than one user account with a single email,ACCOUNT
how to modify the information on my proflie,ACCOUNT
"the shw was cancelled, how do i get a refund ?",REFUNDS
"i have an issue when trying to pay for my order, what can i do?",PAYMENT
I have an issue when trying to pay for my online order and I want to notify it,PAYMENT
where to view the cancellation fees,CANCELLATION_FEE
"i want an user account, can u help me?",ACCOUNT
"I want a refund, helpme request one",REFUNDS
"I have an issue making a payment, what should I do to notify it?",PAYMENT
"I bought an item, what do I have to do to change my order?",ORDER
"tell me if I could register several fucking profiles with the same email address, please",ACCOUNT
"I changed my mind, can you close my online account?",ACCOUNT
can you tell me what the email address of client service is?,CONTACT
how do I solve problems making a payment?,PAYMENT
"I want to make an opinion for a service, what can I do ?",FEEDBACK
i want to ask for information about changing my order,ORDER
"i have an issue when trying to pay with card, what can i do?",PAYMENT
can u ask an agent what the mail to contact customer support is?,CONTACT
"I want to receive the newsletter, can you show me some information?",NEWSLETTER
show me the delivery period for my ticket,DELIVERY
"I can't find my bills, what can I do to view them?",INVOICES
"I get an error message when I attempt to make a payment, what should I do?",PAYMENT
can oyuy tell me if i can register more than one online account with the same email address?,ACCOUNT
where to view your payment options,PAYMENT
"I have a question, how do I send an email to Client Service?",CONTACT
"I haven't got an online account, can I open one?",ACCOUNT
"I have a problem when trying to make a payment with card, inform of it",PAYMENT
I want to know if there is any human agent available,CONTACT
"I'm not happy with the service, how can I lodge a consumer complaint?",FEEDBACK
"I can't understand you, talk to a human agent",CONTACT
"I have a problem paying for my order, I need help informing of it",PAYMENT
"I don't like the service, help me file a complaint",FEEDBACK
"I don't have an account, how can I create one?",ACCOUNT
"I want information, what can I do to talk to Customer Service?",CONTACT
"i lost my password, help me reset it, please",ACCOUNT
"i wanna view the options for ticket delivery, what do i have to do?",DELIVERY
"i didn't receive my invoices, i need help seeing them",INVOICES
"an error message pops when I try to make a payment with card, what do I have to do?",PAYMENT
"I need a user account, help me open one",ACCOUNT
"I want to see the ticket delivery options, what can I do?",DELIVERY
I need help seeing your refund policy,REFUNDS
There's an issue with the registration,ACCOUNT
"I have an issue paying with card, can I notify it?",PAYMENT
"I've got no profile, what do I have to do to create one?",ACCOUNT
"I get an error when I attempt to pay for my online order, can you help me?",PAYMENT
could you tell me if I can regitser more than one fucking account with the same email address?,ACCOUNT
"I need information, can I send an email to Customer Service?",CONTACT
"could you ask an agent if I can inform of a payment problem, please?",PAYMENT
"i have an issue when trying to pay for my order, what can i do to inform of it?",PAYMENT
i want information about your refund policy,REFUNDS
"I want to obtain a bill, tell me how to do it",INVOICES
"I have a problem making a payment with card, how do I report it?",PAYMENT
can u ask an agent how I can track myt orders?,ORDER
can you tell me where I can check my shipments?,ORDER
how do i notify problems making a payment?,PAYMENT
"I can't understand you, help me talk to someone",CONTACT
"an error pops when I attempt to make a payment, can you help me?",PAYMENT
ask an agent how I can know where my delivery is,ORDER
"I got an error when I tried to make a payment, but my card was charged anyway, I need help notifying it, please",PAYMENT
"could you ask an agent how I can modify my profile, please?",ACCOUNT
"the show was cancelled, what can i do to obtain a reimbursement?",REFUNDS
"i dont like the service, i need help making a consumer complaint, please",FEEDBACK
"I have an issue making a paymet, what do I have to do?",PAYMENT
"an error pops when I attempt to make a payment for my online order, can you help me?",PAYMENT
"i need information, can i talk to customer service?",CONTACT
can you tell me how I can see some bills?,INVOICES
i want to know if i can create more than one profile with a single email,ACCOUNT
"I have no account, what should I do to register?",ACCOUNT
how to receive the newsletter,NEWSLETTER
"I bought something, what do I have to do to modify my order?",ORDER
"i dont like the service, what should i do to file a complaint?",FEEDBACK
"I didn't receive my invoices, what do I have to do to view them?",INVOICES
where do I close my user account?,ACCOUNT
"I need information, what should I do to talk to Customer Service?",CONTACT
how can I track my shipments?,ORDER
"an error pops when i attempt to make a payment for my online order, what can i do?",PAYMENT
"I have a problem making a payment, what should I do?",PAYMENT
acn I talk to Customer Support?,CONTACT
I want to know if I can create two user accounts with a single email address,ACCOUNT
can you tell me where I can download a bill?,INVOICES
"I forgot my account password, what do I have to do to reset it?",ACCOUNT
I need help deleting my account,ACCOUNT
tell me how I can know where my shipments are,ORDER
"i want information, can i talk to customer service?",CONTACT
"I don't understand you, can you contact a human?",CONTACT
"I can't find my bills, what can I do to see them?",INVOICES
"I have an issue paying for my order, what should I do to inform of it?",PAYMENT
"someone stole my password and I'd like to retrieve it, please",ACCOUNT
ask an agent where to view their reimbursement policy,REFUNDS
"I bought an item, what should I do to modify my order?",ORDER
"I want to file an opinion for a service, can you help me?",FEEDBACK
"i get an error when i try to make a payment with card, what should i do?",PAYMENT
help me check the options for ticket delivery,DELIVERY
"I want a reimbursement, how can I obtain one?",REFUNDS
"I'm discontent with the service, submit a complaint",FEEDBACK
"I want information, how do I call Client Service?",CONTACT
can you tell me how I can see an invoice?,INVOICES
"ask an agent where to report issues paying, please",PAYMENT
"i wanna get a refund, what do i have to do?",REFUNDS
"I can't understand you, can I contact someone?",CONTACT
I'm having a problem when trying to create a profile,ACCOUNT
I want to know something about getting some invoices,INVOICES
"I have a problem paying with card, I need help notifying it",PAYMENT
I wanna see an bill,INVOICES
what's the mail address to contact Client Service?,CONTACT
how can I modify the information on my profile?,ACCOUNT
"I want to make an opinion, what can I do?",FEEDBACK
the game was postponed and i wanna get a reimbursement,REFUNDS
can u ask an agent how i can check their reimbursement policy?,REFUNDS
"I have an issue when trying to pay for my order, what should I do to inform of it?",PAYMENT
i wanna know if i can craete several accounts with a single email,ACCOUNT
are my packages on their way?,ORDER
can you tell me if I can pay with Master Card?,PAYMENT
"someone stole my password, how do I retrieve it?",ACCOUNT
"I have a problem when trying to pay for my online order, how do I report it?",PAYMENT
I want to ask for information about obtaining an invoice,INVOICES
"I have an issue making a payment, how can I inform of it?",PAYMENT
"I want to use my other online account, how can I switch them ?",ACCOUNT
ask an agent to report problems making a payment,PAYMENT
"i wanna view your money back guarantee, can u help me?",REFUNDS
where do I check yolur money back guarantee?,REFUNDS
"I ordered an item, what do I have to do to modify my purchase?",ORDER
can you show me the email of the Customer Service?,CONTACT
can you give me information about the cancellation fee?,CANCELLATION_FEE
can u show me information about the email address to contact Customer Support?,CONTACT
"i dont like the service, what should i do to make a complaint?",FEEDBACK
"I wanna obtain some invoices, can you give me some information?",INVOICES
"i want to view your payment methods, can u help me?",PAYMENT
can u ask an agent where to inform of problems making a payment?,PAYMENT
can u ask an agent for information about the cancellation fee?,CANCELLATION_FEE
help me notify payment issues,PAYMENT
"I purchased a product, help me change my order",ORDER
can u ask an agent to notify a fucking problem with my payment ?,PAYMENT
"please, could u ask an agent where I can modify my purchase?",ORDER
I had problems while creating a profile,ACCOUNT
I get an error message when I attempt to make a payment with card,PAYMENT
where can I notify a problem paying?,PAYMENT
"I haven't got an online acount, help me register",ACCOUNT
I want to know if I can check my deliveries,ORDER
"I want information, I need help talking to Client Service",CONTACT
"i want to know if i could have several user accounts, please",ACCOUNT
"I lost my invoice, what do I have to do to check it?",INVOICES
"i have a problem paying for my order, how do i notify it?",PAYMENT
can u ask an agent where to modify my order?,ORDER
"i want to remove my fucking profile, how can i do it?",ACCOUNT
I didn't receive my bill and I want to check it,INVOICES
"please, could you ask angaent how I can receive a refund?",REFUNDS
"I got an error message when I attempted to make a payment, but I was charged anyway, I need help informing of it",PAYMENT
"I got an error when I attempted to pay, but my card was charged anyway, can I inform of it?",PAYMENT
"i bought an item, can I modify my purchase?",ORDER
"I don't have an online account, I need help opening one",ACCOUNT
"i have an issue when trying to make a payment, what can i do to inform of it?",PAYMENT
can you check my bills?,INVOICES
can I cancel a purchase?,ORDER
what are your payment options?,PAYMENT
can you tell me if you have a newsletter to keep me informed?,NEWSLETTER
"could you ask an agent where to inform of a fucking payment problem, please?",PAYMENT
ask an agent to file a complaint,FEEDBACK
I need help tracking my purchase,ORDER
"i got an error when i tried to make a payment, but my card was charged anyway, i need help reporting it",PAYMENT
can I check the status of my purchase?,ORDER
I ordered an item and I want to change my purchase,ORDER
"I don't like the service, I need help making a complaint",FEEDBACK
"i have an issue when trying to pay with card, how can i inform of it?",PAYMENT
"i have an issue paying for my online order, can u help me?",PAYMENT
can you obtain some bills?,INVOICES
"I changed my mind, how can I remove my user account?",ACCOUNT
"I want to file a complaint for a service, what should I do?",FEEDBACK
how do I modify my profile?,ACCOUNT
"I forgot my password, how can I recover it?",ACCOUNT
can I inform of a problem with my payment?,PAYMENT
"i want to request a bill, tell me were to do it",INVOICES
"i wanna submit a review for a service, what do i have to do?",FEEDBACK
where can I report issues paying?,PAYMENT
I want to make a order,ORDER
what information do you have about seeing some bills?,INVOICES
"i didn't reecive my invoices, what can i do to check them?",INVOICES
"I want to check your payment options, what do I have to do?",PAYMENT
"I didn't receive my invoice, can you check it?",INVOICES
can u ask an agent how i can inform of issues with my payment?,PAYMENT
I have a problem paying,PAYMENT
"I need an account, can I open one?",ACCOUNT
"please, ask an agent how i can see my invoices",INVOICES
"an error message pops when i attempt to pay for my online order, what should i do?",PAYMENT
"ask an agent where I could inform of payment problems, please",PAYMENT
ask an agent if I could modify my purchase,ORDER
"I didn't get a payment confirmation, can you help me?",PAYMENT
show me the number of Customer Service,CONTACT
"i wanna know if i can register more than one user account with the same email, please",ACCOUNT
"i dont want my rpofile, what can i do to cancel it?",ACCOUNT
"I got an error when I attempted to make a payment, but I was charged anyway, what should I do ?",PAYMENT
can you tell me how to download some invoices?,INVOICES
"I can't find my invoices , help me see them",INVOICES
information about the delivery period formy tickets,DELIVERY
"I got an error message when I tried to make a payment, but I was charged anyway, what should I do to notify it?",PAYMENT
could youask an agent what's the cancellation penalty?,CANCELLATION_FEE
"i need information, how do i speak with client service?",CONTACT
"I want to obtain some invoices, can you show me some information?",INVOICES
can you give me information about my invoice?,INVOICES
"I have an issue when trying to make a payment, help me report it",PAYMENT
"I want to view my invoice, hwat do I have to do?",INVOICES
"i got an error when i attempted to pay, but my card was charged anyway, what should i do to notify it?",PAYMENT
"please, could u ask an agent what your fucking payment options are?",PAYMENT
"the concert was cancelled, how can I obtain a reimbursement?",REFUNDS
can you ask an agent where to see a bill?,INVOICES
i want to know if i can register two online accounts with the same email,ACCOUNT
I don'r understand you and I'd like to contact a human agent,CONTACT
"i got an error when i tried to make a payment, but i was charged anyway, i need help informing of it",PAYMENT
"i cant understand you, what should i do to contact a human?",CONTACT
I have problems creating an account,ACCOUNT
"I have a question, can I talk to Customer Service?",CONTACT
"I have a problem when trying to pay for my order, can you inform of it, please?",PAYMENT
"I got an error when I tried to pay , but my card was charged anyway, how can I inform of it?",PAYMENT
"I want information, how can I call Client Service?",CONTACT
can you tell me if I can create more than one online account with the same email?,ACCOUNT
help me remove my user account,ACCOUNT
i bought a product and i wanna change my purchase,ORDER
I need information about the status of my purchase,ORDER
"you're not hepling , how can I speak with a human?",CONTACT
tell me wht the email address to contact Client Service is,CONTACT
"i havent got an online account, how do i create one?",ACCOUNT
I wanna know where to track my shipment,ORDER
I don't know anything about your rfund policy and I want information about it,REFUNDS
where do I check the ticket delivery options?,DELIVERY
i want to leave an opinion,FEEDBACK
can you tell me the nbumber of client service?,CONTACT
"please, can you ask an agent how to change my purchase?",ORDER
"I want tyo notify a problem paying, what should I do?",PAYMENT
"I want to view cancellation penalties, what can I do?",CANCELLATION_FEE
i want to see the email of client service,CONTACT
"I can't find my bill, what do I have to do to check it?",INVOICES
"i want to cancel a purchase, can u help me?",ORDER
"I purchased a product, how can I change my purchase?",ORDER
I need help switching to another profile,ACCOUNT
"help mew switch to another online account, please",ACCOUNT
"I can't remember my password, how do I reset it?",ACCOUNT
"you're not helping, speak with a human agent",CONTACT
can u ask an agent to inform of an issue with my payment?,PAYMENT
"i got an error when i tried to pay, but i was charged anyway, what can i do to notify it?",PAYMENT
"i get an error message when i attempt to pay with card, what should i do ?",PAYMENT
could you ask an agent how to see my fucking invoices?,INVOICES
could I remove my fucking profile?,ACCOUNT
acn you download a bill?,INVOICES
tell me if I can pay with Visa,PAYMENT
i want to contact customer support,CONTACT
"please, could you ask an agent how I can switch to another online account?",ACCOUNT
can I inform of a fucking issue with my payment?,PAYMENT
"I'm happy with the service, what should I do to submit an opinion?",FEEDBACK
"I have a question, what do I have to do to speak with Customer Support?",CONTACT
I have an issue paying for my order and I want to inform of it,PAYMENT
where to edit my shipping address,SHIPPING
"ask an agent to check their money back policy, please",REFUNDS
"I haven't got an online account, what should I do to create one?",ACCOUNT
"I have an issue when trying to make a payment with card, how do I notify it?",PAYMENT
"i got an error when i tried to pay, but my card was charged anyway and i wanna inform of it",PAYMENT
"I've got no account, register",ACCOUNT
"id like to submit a consumer complaint for a service, what do i have to do?",FEEDBACK
I get a error when I try to make an payment for my online order,PAYMENT
ask an agent how i can view the status of my refund,REFUNDS
where can i inform of an issue with my payment?,PAYMENT
"I got an error message whne I attempted to pay, but mh card was charged anyway, inform of it, please",PAYMENT
"my profile's been hacked, what can I do?",ACCOUNT
"I want a refund, can I get one?",REFUNDS
"the event was cancelled, what should I do to obtain a refund?",REFUNDS
"I have a question, how can I talk to Client Service?",CONTACT
could u ask an agent how to see my invoices?,INVOICES
"my account's been hacked, help me recover it",ACCOUNT
"I want to file an opinion, what can I do?",FEEDBACK
"please, ask an agent to check their payment options",PAYMENT
I want to know how to get some invoices,INVOICES
tell me where to track my shipments,ORDER
"I can't understand you, speak with someone",CONTACT
how to delete my account,ACCOUNT
how to track my deliveries,ORDER
I wanna ask for information about obtaining a bill,INVOICES
"I bought an item, I need help changing my purchase",ORDER
"ask an agent when I will get a reimbursement, please",REFUNDS
can you tell me if I can rceate more than one account with a single email address?,ACCOUNT
i cant remember my password and i want to recover it,ACCOUNT
I want to know something about requesting some invoices,INVOICES
where can I subscribe to the newsletter ?,NEWSLETTER
could u ask an agent how i could see my bill?,INVOICES
can u ask an agent where to cancel my profile?,ACCOUNT
"i dont understand you, can i contact a human agent?",CONTACT
help me open a user account,ACCOUNT
ask an agent if i can obtain a reimbursement,REFUNDS
"I want information, what can I do to contact Customer Support?",CONTACT
"I got an error when I tried to make a payment, but I was charged anyway, could you notify it?",PAYMENT
tell me if can register several accounts with the same email address,ACCOUNT
"someone stole my password, help me retrieve it",ACCOUNT
"I want information, I need help sending an email to Client Service",CONTACT
"I got an error when I tried to make a payment, but my card was charged anyway, can I report it?",PAYMENT
"i need a user account, can u open one?",ACCOUNT
"I want to use mmy other user account, how do I change them?",ACCOUNT
"I made a mistake, I need help modifying my order",ORDER
ask an agent if i can report payment problems,PAYMENT
"I have no user account, I need help pening one",ACCOUNT
where can i inform of issues making a payment?,PAYMENT
"i have a problem when trying to pay for my order, how do i notify it ?",PAYMENT
"the concert was postponed, can i obtain a refund?",REFUNDS
"i got an err when i tried to pay, but i was charged anyway, can i inform of it?",PAYMENT
"I don't want my account, can you remove it?",ACCOUNT
help me contact someone,CONTACT
"I want to reset my account password, can you help me?",ACCOUNT
where do I see the cancellation penalties?,CANCELLATION_FEE
"I've got no online account, I need help creating one",ACCOUNT
"I didn't receive my invoices, could you check them, please?",INVOICES
"I got an error when I tried to make a payment, but I was charged anyway, what can I do to report it?",PAYMENT
"I've got no online account, what do I have to doo to create one?",ACCOUNT
"please, could you tell me how to request an invoice?",INVOICES
"I wanna change my purchase, tell me how I can do it",ORDER
where toreport issues paying,PAYMENT
"I want to download some invoices, can you show me some information?",INVOICES
"I bought something and Id like to change my purchase, plezse",ORDER
I have a question and I want to call Customer Service,CONTACT
"I haven't got an account, open one",ACCOUNT
"i wanna view cancellation fees, what can i do?",CANCELLATION_FEE
"I can't find my bills, what do I have to do to check them?",INVOICES
can u ask an agent if i can change to another account?,ACCOUNT
"i got an error message when i attempted to make a payment, but my card was charged anyway, inform of it",PAYMENT
"I want to modify my purchase, can you show me some information?",ORDER
I found a problem while registering,ACCOUNT
"I changed my mind, how can I delete my profile?",ACCOUNT
I don't want my accvount and I want to close it,ACCOUNT
I have problems creating a profile,ACCOUNT
I need help reporting an issue paying,PAYMENT
"I got an error when I attempted to pay, but my card was charged anyway, what can I do?",PAYMENT
how do I view out reimbursement policy?,REFUNDS
"I want to use my other online account, I neerd help changing them",ACCOUNT
I lost my bill and I want to view it,INVOICES
"i got an error when i tried to pay, but i was charged anyway and i wanna inform of it",PAYMENT
what's the number to contact Client Service?,CONTACT
could u ask an agent to show me information about the fucking cancellation penalties?,CANCELLATION_FEE
could I view yoru payment options?,PAYMENT
can you tell me how I can know where my order is?,ORDER
"I purchased something, can I modify my order?",ORDER
"I got an error message when I tried to make a payment, but I was charged anyway, can I notify it?",PAYMENT
where to report problems paying,PAYMENT
"please , i want to know if i can register more than one fucking jser account with the same email",ACCOUNT
ask an agent if I could delete my user account,ACCOUNT
"I purchased an item, how do I change my order?",ORDER
can u ask an agent if i can set up my shipping address?,SHIPPING
"I don't want my user account, I need help removing it",ACCOUNT
"my account's been hacked , how can I get it back?",ACCOUNT
"i dont understand you, how can i talk to a human ?",CONTACT
"I want information, what can I do to speak with Customer Support?",CONTACT
can you ask an agent if I could notify payment issues?,PAYMENT
where to check yourpayment options,PAYMENT
"I want to change my purchase, tell me where to do it",ORDER
"please, could you ask an agent where I could file a consumer complaint for a service?",FEEDBACK
I want to check my bill,INVOICES
I want to get an invoice,INVOICES
"im discontent with the service, what should i do to submit a consumer complaint?",FEEDBACK
help me report a problem paying,PAYMENT
"i bought an item, what should i do to modify my purchase?",ORDER
I need help obtaining some invoices,INVOICES
"I haven't got an online account, can you help me?",ACCOUNT
"I want to see an invoice, can you tell me how to do it?",INVOICES
"can u ask an agent how i could mje a complaint, please?",FEEDBACK
"I'm not happy with the service, what can I do to submit a cvomplaint?",FEEDBACK
"I need information, I need help sending an email to Customer Support",CONTACT
"I have an issue when trying to make a payment with card and I'd like to notify it, please",PAYMENT
"i want a user account, open one",ACCOUNT
"i didn't receive my bill, what should i do to see it?",INVOICES
can you show me information about the email address of the Client Service?,CONTACT
"I have a problem making a payment with card, what should I do to report it?",PAYMENT
"I have no user account, can I register?",ACCOUNT
"I got an error when I attempted to pay, but my card was charged anyway, what do I have to do to inform of it?",PAYMENT
"I want information, I need help speaking with Customer Support",CONTACT
I need help viewing your refund policy,REFUNDS
i have an issue when trying to mke an payment with card and i want to inform of it,PAYMENT
I don't want my online account and I want to cancel it,ACCOUNT
"I lost my account password, how can I recover it?",ACCOUNT
"I want to check your money back guarantee, what do I have to do?",REFUNDS
can u ask an agent if i can notify payment issues?,PAYMENT
where do I view the ticket delivery options?,DELIVERY
"the game was postponed, what do i have to do to get a reimbursement?",REFUNDS
I want to request some invoices,INVOICES
"I get an error when I try to make a payment for my online order, what should I do?",PAYMENT
"i wanna check your money back policy, what should i do?",REFUNDS
how to file a complaint,FEEDBACK
"an error pops when I try to make a payment with card, what can I do?",PAYMENT
"i get an error message when i attempt to pay with card, can u help me?",PAYMENT
i want to know if i can create two profiles with the same email address,ACCOUNT
tell me wha the email to contact Client Service is,CONTACT
"I want to notify a problem with my oayment, what do I have to do?",PAYMENT
"I don't understand you, what can I do to talk to a human agent?",CONTACT
I'm nor happy with the serviceand I want to submit a consumer complaint,FEEDBACK
ask an agent to inform of payment issues,PAYMENT
I get an error when I try to make a payment for my order,PAYMENT
"i'd like to download some fucking bills, could you tell me how to do it?",INVOICES
"i cant pay, can u help me?",PAYMENT
"an erorr pops when I try to make a payment with card, what should I do?",PAYMENT
"I didn't receive my bills, show them",INVOICES
"ask an agent how I could see their reimbursement policy, please",REFUNDS
i want information about your payment methods,PAYMENT
i wanna see the mail to contact Client Service,CONTACT
ask an agent where i can see their reimbursement policy,REFUNDS
can u ask an agent where to obtain a refund?,REFUNDS
"I want to create an account, what can I do?",ACCOUNT
"im not happy with the service , what can i do to submit an complaint?",FEEDBACK
can u ask an agent if i can trcak my shipment?,ORDER
I need help seeing the cancellation fee,CANCELLATION_FEE
I had issues creating a profile,ACCOUNT
