flags,utterance,category,intent
BILQD,can u ask an agent how to call customer service?,CONTACT,contact_customer_service
BIPLQD,"could u ask an agent how i could talk to client service, please?",CONTACT,contact_customer_service
BIPLQD,could u ask an agent if i can view the status of my refund?,REFUNDS,track_refund
BILQW,can I reset my fucking password?,ACCOUNT,recover_password
BILC,"you're not helping, can I talk to someone?",CONTACT,contact_human_agent
BILQ,how can I inform of an issue with my payment?,PAYMENT,payment_issue
BILC,"I have no account, can you open one?",ACCOUNT,create_account
BLQD,ask an agent to write a comment,FEEDBACK,review
BML,I want to know if I can own several profiles,ACCOUNT,create_account
BPLZ,"help me create a profile,please",ACCOUNT,create_account
BILCZ,"you're not helping , can you speak with a person?",CONTACT,contact_human_agent
BILQC,"ive got no account, can u open one?",ACCOUNT,create_account
BIC,"i have an issue paying with card, what should i do to report it?",PAYMENT,payment_issue
BIL,is Client Service available?,CONTACT,contact_customer_service
BIMLQD,can u ask an agent where i can view the cancellation fees?,CANCELLATION_FEE,check_cancellation_fee
BLC,"my online account's been hacked, help me recover it",ACCOUNT,recover_password
BLQC,"I need a reimbursement, obtain one",REFUNDS,get_refund
BMLQ,i want to solve problems making a payment,PAYMENT,payment_issue
BILC,"I want to change my purchase, can you tell me where I can do it?",ORDER,change_order
BILC,"I didn't get a payment validation, can you help me?",PAYMENT,payment_issue
BILQC,"i want a reimbursement, how can i request one?",REFUNDS,get_refund
BPLQ,id like to view the cancellation penalty,CANCELLATION_FEE,check_cancellation_fee
BLZ,wher to register,ACCOUNT,create_account
BILQ,how do I view my invoices?,INVOICES,check_invoices
BIC,"I have an issue when trying to pay with card, can you report it?",PAYMENT,payment_issue
BIL,where do I get a reimbursement?,REFUNDS,get_refund
BIL,can I make an order?,ORDER,place_order
BILQC,"I have an issue when trying to make a payment with card, how can I inform of it?",PAYMENT,payment_issue
BLC,"I need information, send an email to Customer Support",CONTACT,contact_customer_service
BILC,"I want to make an order, can you help me?",ORDER,place_order
BPSLEQC,"my online account has been hacked, i need help getting it back, please",ACCOUNT,recover_password
BPLQC,"you arent helping and i wanna talk to a human, please",CONTACT,contact_human_agent
BILQWCZ,"i  want information, how do i talk to fucking customer support?",CONTACT,contact_customer_service
BL,help me close my profile,ACCOUNT,delete_account
BILC,"the game was cancelled, how do I get a refund?",REFUNDS,get_refund
BLZ,ohw to speak with Customer Support,CONTACT,contact_customer_service
BLC,"I got an error message when I attempted to make a payment, but my card was charged anyway, notify it",PAYMENT,payment_issue
BILQCZ,"an error message pops when I try to pay for my order, what ahould I do?",PAYMENT,payment_issue
BILQC,"i wanna lodge a consumer complaint, what should i do?",FEEDBACK,complaint
