flags,utterance,category,intent
BMLQDZ,sak an agent how to check my bill,INVOICES,check_invoices
BL,an error pops when I try to make a payment for my online order,PAYMENT,payment_issue
BIL,can you tell me what the mail address of the Client Service is?,CONTACT,contact_customer_service
BIMSLQC,"I lost my bill, how do I see it?",INVOICES,check_invoices
BILC,"I don't want my online account, can I close it?",ACCOUNT,delete_account
BIPLQD,can u ask an agent if i could write a comment?,FEEDBACK,review
BIPMSLDZ,"please, do you mind asking an agent if my orders are on theit awy?",ORDER,track_order
BML,"I want to download some invoices, tell me how to do it",INVOICES,get_invoice
BPLC,"I'd like a user account, open one",ACCOUNT,create_account
BLQC,"I have a problem paying for my online order, inform of it",PAYMENT,payment_issue
BLC,"my profile was hacked, get it back",ACCOUNT,recover_password
BILC,"I want to check your payment options, what should I do?",PAYMENT,check_payment_methods
BL,tell me if I can create several online accounts with the same email,ACCOUNT,create_account
BSLWC,"i can't find my fucking bills, help me check them",INVOICES,check_invoices
BILZ,is their any human available?,CONTACT,contact_human_agent
BILQC,"I want to register, what can I do?",ACCOUNT,create_account
BPLEWC,"I do not understand you and I would like to contact fucking someone, please",CONTACT,contact_human_agent
BQ,I need information about the delivery period for my ticket,DELIVERY,delivery_period
BLQC,"I got an error message when I tried to pay, but my card was charged anyway, report it",PAYMENT,payment_issue
BML,I want to download some invoices,INVOICES,get_invoice
BLQCZ,"I got a error message when I attempted to pay, but my card was charged anyway and I want to inform of it",PAYMENT,payment_issue
BLQCZ,"i cant understand you, cotact a human",CONTACT,contact_human_agent
BILQ,how do I report a problem making a payment?,PAYMENT,payment_issue
BILC,"I don't understand you, what should I do to talk to a human agent?",CONTACT,contact_human_agent
BIC,"the event was cancelled, what should I do?",REFUNDS,get_refund
BZ,tell me what the phone no of Customer Service is,CONTACT,contact_customer_service
BIPLQ,"please, could you tell me the free phone number of customer service?",CONTACT,contact_customer_service
BILC,"I haven't got an online account, what do I have to do to open one?",ACCOUNT,create_account
BILC,"I have an issue making a payment with card, can you notify it?",PAYMENT,payment_issue
BILC,"I want to check my package, can you tell me how I can do it?",ORDER,track_order
BPQW,"i want to know if i could register two fucking accounts with the same email, please",ACCOUNT,create_account
BLQC,"I lost my password, reset it",ACCOUNT,recover_password
BILC,"I have a problem when trying to pay for my online order, can you report it?",PAYMENT,payment_issue
BILQ,can you tell me what the mail address to contact Client Service is?,CONTACT,contact_customer_service
BILQDZ,can u ask an agent were to view their refund policy?,REFUNDS,check_refund_policy
BPLQC,I ordered something and Id like to change my order,ORDER,change_order
BIPD,"can you ask an agent what the phone number of Customer Service is, please?",CONTACT,contact_customer_service
BIMLQZ,can you tello me if I can obtain some bills?,INVOICES,get_invoice
BSLQCZ,"I have no profile , I need help creating one",ACCOUNT,create_account
BILC,"I can't understand you, what can I do to contact a human agent?",CONTACT,contact_human_agent
BLZ,tell me what the free no to contact Customer Support is,CONTACT,contact_customer_service
BILQ,is there a free number to contact Client Service?,CONTACT,contact_customer_service
BILQC,"i have an issue making a payment with card, can u inform of it?",PAYMENT,payment_issue
BLC,"I don't want my account, help me close it",ACCOUNT,delete_account
BIPLEQC,"i would like to check my order, could you tell me where I can do it, please?",ORDER,track_order
BIPLQDWZ,"please, could u ask an agent where i can view their fucking payment methods ?",PAYMENT,check_payment_methods
BQC,someone stole my password and I want to recover it,ACCOUNT,recover_password
BILC,"the show was cancelled, how can I get a refund?",REFUNDS,get_refund
BILQC,"I changed my mind, how do I cancel my account?",ACCOUNT,delete_account
BLQ,"I want to download an invoice, tell me where to do it",INVOICES,get_invoice
BILQD,can u ask an agent where i can check the ticket delivery options?,DELIVERY,delivery_options
BPMEQC,"I would like to track my orders, tell me how I can do it, please",ORDER,track_order
BI,what's the email address of Customer Service?,CONTACT,contact_customer_service
BLQ,I want to see the number of Client Service,CONTACT,contact_customer_service
BILQ,can you tell me the free number to contact Customer Service?,CONTACT,contact_customer_service
BILC,"I got an error when I attempted to make a payment, but I was charged anyway, what can I do to report it?",PAYMENT,payment_issue
BL,i want to inform of a payment problem,PAYMENT,payment_issue
BIPMLD,could you ask an agent how to report problems with my payment?,PAYMENT,payment_issue
BIPMLQD,"could u ask an agent if i could inform of payment issues, please?",PAYMENT,payment_issue
BIM,do I get a full refund if I cancel my tickets?,REFUNDS,check_refund_policy
BIC,"I don't want my account, can you delete it?",ACCOUNT,delete_account
BILQ,how can I speak with a person?,CONTACT,contact_human_agent
BLQD,ask an agent where i can check the options for ticket delivery,DELIVERY,delivery_options
BLC,"the game was postponed, help me get a reimbursement",REFUNDS,get_refund
BLQC,"I got an error when I tried to pay, but my card was charged anyway and I want to notify it",PAYMENT,payment_issue
BILC,"I want to solve a problem with my payment, what do I have to do?",PAYMENT,payment_issue
BPMLQD,"please, ask an agent how I could notify issues making a payment",PAYMENT,payment_issue
BIC,"I can't remember my password, what can I do to recover it?",ACCOUNT,recover_password
BSL,i need help seeing a bill,INVOICES,get_invoice
BISC,"I can't find my invoices, can you check them?",INVOICES,check_invoices
BLQC,"I have an issue making a payment with card, help me notify it",PAYMENT,payment_issue
BIC,"I want to change my order, can you tell me how I can do it?",ORDER,change_order
BML,how to view the cancellation penalties,CANCELLATION_FEE,check_cancellation_fee
BSLC,"I haven't got a user account, I need help creating one",ACCOUNT,create_account
BIML,how can I inform of issues with my payment?,PAYMENT,payment_issue
BILQC,"I want to view your money back policy, what can I do?",REFUNDS,check_refund_policy
BILC,"I don't understand you, can you contact a person?",CONTACT,contact_human_agent
BIPMSLQDW,could u ask an agent for information about obtaining some fucking bills?,INVOICES,get_invoice
BLQC,I ordered a product and i wanna change my purchase,ORDER,change_order
BILQC,"i dont like the service, what do i have to do to lodge a consumer complaint?",FEEDBACK,complaint
BL,I'm having issues when trying to create a profile,ACCOUNT,registration_problems
BILC,"an error message pops when I try to pay, what can I do?",PAYMENT,payment_issue
BILC,"I'm discontent with the service, how do I submit a consumer complaint?",FEEDBACK,complaint
BLQ,i want to report a problem paying,PAYMENT,payment_issue
BLQC,i dont want my online account and i wanna close it,ACCOUNT,delete_account
BLQ,i wanna see the phone number to contact customer support,CONTACT,contact_customer_service
BILCZ,"I want to ifle a comment , what can I do?",FEEDBACK,review
BLC,"I have an issue paying, I need help informing of it",PAYMENT,payment_issue
BILC,"I'm not happy with the service, can I make a consumer complaint?",FEEDBACK,complaint
BILC,"I have a problem paying with card, can you help me?",PAYMENT,payment_issue
BILQC,"I ordered an item, can I modify my order?",ORDER,change_order
BIP,"can you tell me what the phone number of Customer Service is, please?",CONTACT,contact_customer_service
BL,I want to know how I can see a bill,INVOICES,get_invoice
BLC,i have a question and i want to talk to client service,CONTACT,contact_customer_service
BILECZ,"i am happy with the service, what should i do to lodge a reiew?",FEEDBACK,review
BIPLQWC,"the game was postponed, could i obtain a fucking reimbursement, please?",REFUNDS,get_refund
BL,tell me if I can own more than one online account,ACCOUNT,create_account
BI,can you tell me how to track my order?,ORDER,track_order
BILQC,"I want information, what should I do to call Client Service?",CONTACT,contact_customer_service
BIMLQ,can you tell me if I can create more than one account with a single email?,ACCOUNT,create_account
BIPLQD,"can u ask an agent if theres a newsletter i can receive, please?",NEWSLETTER,newsletter_subscription
BILC,"I got an error message when I tried to pay, but I was charged anyway, how do I notify it?",PAYMENT,payment_issue
BIPLC,"the concert was postponed, how could I obtain a reimbursement?",REFUNDS,get_refund
BIQD,can u ask an agent to recover my password?,ACCOUNT,recover_password
BMLQ,I want to know how I can track my shipments,ORDER,track_order
BILEQC,"i dont have an online account, what do i have to do to open one?",ACCOUNT,create_account
BIQCZ,"my shipping address has changed, hat can Ido?",SHIPPING,change_shipping_address
BILCZ,"i want to use my otheraccount, what should i do to switch them?",ACCOUNT,switch_account
BILQC,"I got an error message when I tried to make a payment, but I was charged anyway, what do I have to do?",PAYMENT,payment_issue
BLWZ,telll me if i can check my fucking shipment,ORDER,track_order
BIPMLQZ,cxould you tell me if i can have several online accounts?,ACCOUNT,create_account
BLD,ask an agent to notify a problem making a payment,PAYMENT,payment_issue
BILQDC,"I made a mistake, can u ask an agent to change my purchase?",ORDER,change_order
BMLQ,"I want to see some invoices, can you show me some information?",INVOICES,get_invoice
BILC,"I don't have an account, what can I do to register?",ACCOUNT,create_account
BILCZ,"I have no user account, how do I register ?",ACCOUNT,create_account
BML,help me check my bill,INVOICES,check_invoices
BL,tell me where to modify my purchase,ORDER,change_order
BIQ,can I cancel an order?,ORDER,cancel_order
BILQ,can I see the options for delivery?,DELIVERY,delivery_options
BLC,"I got an error message when I attempted to make a payment, but my card was charged anyway, help me inform of it",PAYMENT,payment_issue
BSLQCZ,"I lost my bills , help me check them",INVOICES,check_invoices
BIPMLQDW,"could u ask an agent how i could inform of fucking problems making a payment, please?",PAYMENT,payment_issue
BIL,can you tell me how I can obtain a bill?,INVOICES,get_invoice
BILCZ,"I forgot my account passsord, can you retrieve it?",ACCOUNT,recover_password
BML,tell me how I can get some bills,INVOICES,get_invoice
BLDZ,ask an agent where to leae a comment,FEEDBACK,review
BIPLQWZ,"could you tell me if i could register several fucking profiles with the saem email, please?",ACCOUNT,create_account
BIL,where do i lodge a complaint for a service?,FEEDBACK,complaint
BILQCZ,"an error pops when I try to make an payment for my order, what should I do?",PAYMENT,payment_issue
BILC,"my user account's been hacked, how can I get it back?",ACCOUNT,recover_password
BML,I want to know if I can register more than one user account with a single email,ACCOUNT,create_account
BLZ,how to modify the information on my proflie,ACCOUNT,edit_account
BILQCZ,"the shw was cancelled, how do i get a refund ?",REFUNDS,get_refund
BIQC,"i have an issue when trying to pay for my order, what can i do?",PAYMENT,payment_issue
BLC,I have an issue when trying to pay for my online order and I want to notify it,PAYMENT,payment_issue
BML,where to view the cancellation fees,CANCELLATION_FEE,check_cancellation_fee
BILQCZ,"i want an user account, can u help me?",ACCOUNT,create_account
BLCZ,"I want a refund, helpme request one",REFUNDS,get_refund
BILC,"I have an issue making a payment, what should I do to notify it?",PAYMENT,payment_issue
BIQC,"I bought an item, what do I have to do to change my order?",ORDER,change_order
BPLW,"tell me if I could register several fucking profiles with the same email address, please",ACCOUNT,create_account
BILC,"I changed my mind, can you close my online account?",ACCOUNT,delete_account
BILQ,can you tell me what the email address of client service is?,CONTACT,contact_customer_service
BIMLQ,how do I solve problems making a payment?,PAYMENT,payment_issue
BILQCZ,"I want to make an opinion for a service, what can I do ?",FEEDBACK,review
BSLQ,i want to ask for information about changing my order,ORDER,change_order
BIC,"i have an issue when trying to pay with card, what can i do?",PAYMENT,payment_issue
BILQD,can u ask an agent what the mail to contact customer support is?,CONTACT,contact_customer_service
BLC,"I want to receive the newsletter, can you show me some information?",NEWSLETTER,newsletter_subscription
B,show me the delivery period for my ticket,DELIVERY,delivery_period
BISLC,"I can't find my bills, what can I do to view them?",INVOICES,check_invoices
BILC,"I get an error message when I attempt to make a payment, what should I do?",PAYMENT,payment_issue
BIMLZ,can oyuy tell me if i can register more than one online account with the same email address?,ACCOUNT,create_account
BL,where to view your payment options,PAYMENT,check_payment_methods
BILQC,"I have a question, how do I send an email to Client Service?",CONTACT,contact_customer_service
BILC,"I haven't got an online account, can I open one?",ACCOUNT,create_account
BLQC,"I have a problem when trying to make a payment with card, inform of it",PAYMENT,payment_issue
B,I want to know if there is any human agent available,CONTACT,contact_human_agent
BILC,"I'm not happy with the service, how can I lodge a consumer complaint?",FEEDBACK,complaint
BLC,"I can't understand you, talk to a human agent",CONTACT,contact_human_agent
BLC,"I have a problem paying for my order, I need help informing of it",PAYMENT,payment_issue
BC,"I don't like the service, help me file a complaint",FEEDBACK,complaint
BIC,"I don't have an account, how can I create one?",ACCOUNT,create_account
BILQC,"I want information, what can I do to talk to Customer Service?",CONTACT,contact_customer_service
BPLQC,"i lost my password, help me reset it, please",ACCOUNT,recover_password
BILQC,"i wanna view the options for ticket delivery, what do i have to do?",DELIVERY,delivery_options
BSLQC,"i didn't receive my invoices, i need help seeing them",INVOICES,check_invoices
BILC,"an error message pops when I try to make a payment with card, what do I have to do?",PAYMENT,payment_issue
BLQC,"I need a user account, help me open one",ACCOUNT,create_account
BILC,"I want to see the ticket delivery options, what can I do?",DELIVERY,delivery_options
BSL,I need help seeing your refund policy,REFUNDS,check_refund_policy
BL,There's an issue with the registration,ACCOUNT,registration_problems
BILC,"I have an issue paying with card, can I notify it?",PAYMENT,payment_issue
BILC,"I've got no profile, what do I have to do to create one?",ACCOUNT,create_account
BILC,"I get an error when I attempt to pay for my online order, can you help me?",PAYMENT,payment_issue
BIPMLWZ,could you tell me if I can regitser more than one fucking account with the same email address?,ACCOUNT,create_account
BILC,"I need information, can I send an email to Customer Service?",CONTACT,contact_customer_service
BIPLD,"could you ask an agent if I can inform of a payment problem, please?",PAYMENT,payment_issue
BILC,"i have an issue when trying to pay for my order, what can i do to inform of it?",PAYMENT,payment_issue
B,i want information about your refund policy,REFUNDS,check_refund_policy
BL,"I want to obtain a bill, tell me how to do it",INVOICES,get_invoice
BILQC,"I have a problem making a payment with card, how do I report it?",PAYMENT,payment_issue
BIMQDZ,can u ask an agent how I can track myt orders?,ORDER,track_order
BIML,can you tell me where I can check my shipments?,ORDER,track_order
BIMLQ,how do i notify problems making a payment?,PAYMENT,payment_issue
BLC,"I can't understand you, help me talk to someone",CONTACT,contact_human_agent
BILC,"an error pops when I attempt to make a payment, can you help me?",PAYMENT,payment_issue
BLD,ask an agent how I can know where my delivery is,ORDER,track_order
BPLC,"I got an error when I tried to make a payment, but my card was charged anyway, I need help notifying it, please",PAYMENT,payment_issue
BIPLD,"could you ask an agent how I can modify my profile, please?",ACCOUNT,edit_account
BILQC,"the show was cancelled, what can i do to obtain a reimbursement?",REFUNDS,get_refund
BPSLQC,"i dont like the service, i need help making a consumer complaint, please",FEEDBACK,complaint
BILCZ,"I have an issue making a paymet, what do I have to do?",PAYMENT,payment_issue
BILC,"an error pops when I attempt to make a payment for my online order, can you help me?",PAYMENT,payment_issue
BILC,"i need information, can i talk to customer service?",CONTACT,contact_customer_service
BIML,can you tell me how I can see some bills?,INVOICES,get_invoice
BMLQ,i want to know if i can create more than one profile with a single email,ACCOUNT,create_account
BILQC,"I have no account, what should I do to register?",ACCOUNT,create_account
BL,how to receive the newsletter,NEWSLETTER,newsletter_subscription
BILQC,"I bought something, what do I have to do to modify my order?",ORDER,change_order
BIQC,"i dont like the service, what should i do to file a complaint?",FEEDBACK,complaint
BISLC,"I didn't receive my invoices, what do I have to do to view them?",INVOICES,check_invoices
BIL,where do I close my user account?,ACCOUNT,delete_account
BILQC,"I need information, what should I do to talk to Customer Service?",CONTACT,contact_customer_service
BIML,how can I track my shipments?,ORDER,track_order
BILQC,"an error pops when i attempt to make a payment for my online order, what can i do?",PAYMENT,payment_issue
BILQC,"I have a problem making a payment, what should I do?",PAYMENT,payment_issue
BILQZ,acn I talk to Customer Support?,CONTACT,contact_customer_service
BL,I want to know if I can create two user accounts with a single email address,ACCOUNT,create_account
BIL,can you tell me where I can download a bill?,INVOICES,get_invoice
BILQC,"I forgot my account password, what do I have to do to reset it?",ACCOUNT,recover_password
BSQ,I need help deleting my account,ACCOUNT,delete_account
BML,tell me how I can know where my shipments are,ORDER,track_order
BILQC,"i want information, can i talk to customer service?",CONTACT,contact_customer_service
BILC,"I don't understand you, can you contact a human?",CONTACT,contact_human_agent
BISLC,"I can't find my bills, what can I do to see them?",INVOICES,check_invoices
BILC,"I have an issue paying for my order, what should I do to inform of it?",PAYMENT,payment_issue
BPLC,"someone stole my password and I'd like to retrieve it, please",ACCOUNT,recover_password
BLQD,ask an agent where to view their reimbursement policy,REFUNDS,check_refund_policy
BILC,"I bought an item, what should I do to modify my order?",ORDER,change_order
BILC,"I want to file an opinion for a service, can you help me?",FEEDBACK,review
BILC,"i get an error when i try to make a payment with card, what should i do?",PAYMENT,payment_issue
BL,help me check the options for ticket delivery,DELIVERY,delivery_options
BILC,"I want a reimbursement, how can I obtain one?",REFUNDS,get_refund
BLCZ,"I'm discontent  with the service, submit a complaint",FEEDBACK,complaint
BILC,"I want information, how do I call Client Service?",CONTACT,contact_customer_service
BIL,can you tell me how I can see an invoice?,INVOICES,get_invoice
BPMLQD,"ask an agent where to report issues paying, please",PAYMENT,payment_issue
BIQC,"i wanna get a refund, what do i have to do?",REFUNDS,get_refund
BILC,"I can't understand you, can I contact someone?",CONTACT,contact_human_agent
BML,I'm having a problem when trying to create a profile,ACCOUNT,registration_problems
BMSQ,I want to know something about getting some invoices,INVOICES,get_invoice
BLQC,"I have a problem paying with card, I need help notifying it",PAYMENT,payment_issue
BLQZ,I wanna see an bill,INVOICES,get_invoice
BIL,what's the mail address to contact Client Service?,CONTACT,contact_customer_service
BIL,how can I modify the information on my profile?,ACCOUNT,edit_account
BILQC,"I want to make an opinion, what can I do?",FEEDBACK,review
BLQC,the game was postponed and i wanna get a reimbursement,REFUNDS,get_refund
BILQD,can u ask an agent how i can check their reimbursement policy?,REFUNDS,check_refund_policy
BILC,"I have an issue when trying to pay for my order, what should I do to inform of it?",PAYMENT,payment_issue
BLQZ,i wanna know if i can craete several accounts with a single email,ACCOUNT,create_account
BIML,are my packages on their way?,ORDER,track_order
BILQ,can you tell me if I can pay with Master Card?,PAYMENT,check_payment_methods
BILC,"someone stole my password, how do I retrieve it?",ACCOUNT,recover_password
BILQC,"I have a problem when trying to pay for my online order, how do I report it?",PAYMENT,payment_issue
BSLQ,I want to ask for information about obtaining an invoice,INVOICES,get_invoice
BILC,"I have an issue making a payment, how can I inform of it?",PAYMENT,payment_issue
BILQCZ,"I want to use my other online account, how can I switch them ?",ACCOUNT,switch_account
BMLQD,ask an agent to report problems making a payment,PAYMENT,payment_issue
BILQC,"i wanna view your money back guarantee, can u help me?",REFUNDS,check_refund_policy
BILQZ,where do I check yolur money back guarantee?,REFUNDS,check_refund_policy
BILC,"I ordered an item, what do I have to do to modify my purchase?",ORDER,change_order
BIL,can you show me the email of the Customer Service?,CONTACT,contact_customer_service
BIL,can you give me information about the cancellation fee?,CANCELLATION_FEE,check_cancellation_fee
BILQ,can u show me information about the email address to contact Customer Support?,CONTACT,contact_customer_service
BILQC,"i dont like the service, what should i do to make a complaint?",FEEDBACK,complaint
BMLQ,"I wanna obtain some invoices, can you give me some information?",INVOICES,get_invoice
BILQC,"i want to view your payment methods, can u help me?",PAYMENT,check_payment_methods
BIMLQD,can u ask an agent where to inform of problems making a payment?,PAYMENT,payment_issue
BIQD,can u ask an agent for information about the cancellation fee?,CANCELLATION_FEE,check_cancellation_fee
BML,help me notify payment issues,PAYMENT,payment_issue
BLQC,"I purchased a product, help me change my order",ORDER,change_order
BILQDWZ,can u ask an agent to notify a fucking problem with my payment ?,PAYMENT,payment_issue
BIPLQD,"please, could u ask an agent where I can modify my purchase?",ORDER,change_order
BL,I had problems while creating a profile,ACCOUNT,registration_problems
BLQ,I get an error message when I attempt to make a payment with card,PAYMENT,payment_issue
BIL,where can I notify a problem paying?,PAYMENT,payment_issue
BLCZ,"I haven't got an online acount, help me register",ACCOUNT,create_account
BMLQ,I want to know if I can check my deliveries,ORDER,track_order
BSLC,"I want information, I need help talking to Client Service",CONTACT,contact_customer_service
BPMLQ,"i want to know if i could have several user accounts, please",ACCOUNT,create_account
BIMSQC,"I lost my invoice, what do I have to do to check it?",INVOICES,check_invoices
BILC,"i have a problem paying for my order, how do i notify it?",PAYMENT,payment_issue
BILQD,can u ask an agent where to modify my order?,ORDER,change_order
BILQWC,"i want to remove my fucking profile, how can i do it?",ACCOUNT,delete_account
BMSLC,I didn't receive my bill and I want to check it,INVOICES,check_invoices
BIPLDZ,"please, could you ask angaent how I can receive a refund?",REFUNDS,get_refund
BLQCZ,"I got an  error message when I attempted to make a payment, but I was charged anyway, I need help informing of it",PAYMENT,payment_issue
BILC,"I got an error when I attempted to pay, but my card was charged anyway, can I inform of it?",PAYMENT,payment_issue
BILQC,"i bought an item, can I modify my purchase?",ORDER,change_order
BSLC,"I don't have an online account, I need help opening one",ACCOUNT,create_account
BILC,"i have an issue when trying to make a payment, what can i do to inform of it?",PAYMENT,payment_issue
BIL,can you check my bills?,INVOICES,check_invoices
BILQ,can I cancel a purchase?,ORDER,cancel_order
BIL,what are your payment options?,PAYMENT,check_payment_methods
BIL,can you tell me if you have a newsletter to keep me informed?,NEWSLETTER,newsletter_subscription
BIPLDW,"could you ask an agent where to inform of a fucking payment problem, please?",PAYMENT,payment_issue
BD,ask an agent to file a complaint,FEEDBACK,complaint
BSL,I need help tracking my purchase,ORDER,track_order
BLQC,"i got an error when i tried to make a payment, but my card was charged anyway, i need help reporting it",PAYMENT,payment_issue
BILQ,can I check the status of my purchase?,ORDER,track_order
BLQC,I ordered an item and I want to change my purchase,ORDER,change_order
BSLC,"I don't like the service, I need help making a complaint",FEEDBACK,complaint
BILC,"i have an issue when trying to pay with card, how can i inform of it?",PAYMENT,payment_issue
BILQC,"i have an issue paying for my online order, can u help me?",PAYMENT,payment_issue
BIML,can you obtain some bills?,INVOICES,get_invoice
BILQC,"I changed my mind, how can I remove my user account?",ACCOUNT,delete_account
BIQC,"I want to file a complaint for a service, what should I do?",FEEDBACK,complaint
BIL,how do I modify my profile?,ACCOUNT,edit_account
BIC,"I forgot my password, how can I recover it?",ACCOUNT,recover_password
BILQ,can I inform of a problem with my payment?,PAYMENT,payment_issue
BLQZ,"i want to request a bill, tell me were to do it",INVOICES,get_invoice
BILQC,"i wanna submit a review for a service, what do i have to do?",FEEDBACK,review
BIML,where can I report issues paying?,PAYMENT,payment_issue
BLZ,I want to make a order,ORDER,place_order
BIMSL,what information do you have about seeing some bills?,INVOICES,get_invoice
BISCZ,"i didn't reecive my invoices, what can i do to check them?",INVOICES,check_invoices
BILQC,"I want to check your payment options, what do I have to do?",PAYMENT,check_payment_methods
BIMSC,"I didn't receive my invoice, can you check it?",INVOICES,check_invoices
BIMLQD,can u ask an agent how i can inform of issues with my payment?,PAYMENT,payment_issue
BLQ,I have a problem paying,PAYMENT,payment_issue
BILQC,"I need an account, can I open one?",ACCOUNT,create_account
BPLQD,"please, ask an agent how i can see my invoices",INVOICES,check_invoices
BILQC,"an error message pops when i attempt to pay for my online order, what should i do?",PAYMENT,payment_issue
BPMLQD,"ask an agent where I could inform of payment problems, please",PAYMENT,payment_issue
BPLQD,ask an agent if I could modify my purchase,ORDER,change_order
BIC,"I didn't get a payment confirmation, can you help me?",PAYMENT,payment_issue
BLQ,show me the number of Customer Service,CONTACT,contact_customer_service
BPMLQ,"i wanna know if i can register more than one user account with the same email, please",ACCOUNT,create_account
BILQCZ,"i dont want my rpofile, what can i do to cancel it?",ACCOUNT,delete_account
BILCZ,"I got an error when I attempted to make a payment, but I was charged anyway, what should I do ?",PAYMENT,payment_issue
BIML,can you tell me how to download some invoices?,INVOICES,get_invoice
BSLQCZ,"I can't find my invoices , help me see them",INVOICES,check_invoices
BMZ,information about the delivery period formy tickets,DELIVERY,delivery_period
BILQC,"I got an error message when I tried to make a payment, but I was charged anyway, what should I do to notify it?",PAYMENT,payment_issue
BIPLDZ,could youask an agent what's the cancellation penalty?,CANCELLATION_FEE,check_cancellation_fee
BILQC,"i need information, how do i speak with client service?",CONTACT,contact_customer_service
BML,"I want to obtain some invoices, can you show me some information?",INVOICES,get_invoice
BIM,can you give me information about my invoice?,INVOICES,check_invoices
BLQC,"I have an issue when trying to make a payment, help me report it",PAYMENT,payment_issue
BIMLCZ,"I want to view my invoice, hwat do I have to do?",INVOICES,check_invoices
BILC,"i got an error when i attempted to pay, but my card was charged anyway, what should i do to notify it?",PAYMENT,payment_issue
BIPLQDW,"please, could u ask an agent what your fucking payment options are?",PAYMENT,check_payment_methods
BILC,"the concert was cancelled, how can I obtain a reimbursement?",REFUNDS,get_refund
BILQD,can you ask an agent where to see a bill?,INVOICES,get_invoice
BLQ,i want to know if i can register two online accounts with the same email,ACCOUNT,create_account
BPCZ,I don'r understand you and I'd like to contact a human agent,CONTACT,contact_human_agent
BLC,"i got an error when i tried to make a payment, but i was charged anyway, i need help informing of it",PAYMENT,payment_issue
BILQC,"i cant understand you, what should i do to contact a human?",CONTACT,contact_human_agent
BL,I have problems creating an account,ACCOUNT,registration_problems
BILQC,"I have a question, can I talk to Customer Service?",CONTACT,contact_customer_service
BIPLC,"I have a problem when trying to pay for my order, can you inform of it, please?",PAYMENT,payment_issue
BILQCZ,"I got an error when I tried to pay , but my card was charged anyway, how can I inform of it?",PAYMENT,payment_issue
BILQC,"I want information, how can I call Client Service?",CONTACT,contact_customer_service
BIMLQ,can you tell me if I can create more than one online account with the same email?,ACCOUNT,create_account
BL,help me remove my user account,ACCOUNT,delete_account
BLQC,i bought a product and i wanna change my purchase,ORDER,change_order
BLQ,I need information about the status of my purchase,ORDER,track_order
BILCZ,"you're not hepling , how can I speak with a human?",CONTACT,contact_human_agent
BLZ,tell me wht the email address to contact Client Service is,CONTACT,contact_customer_service
BILQC,"i havent got an online account, how do i create one?",ACCOUNT,create_account
BLQ,I wanna know where to track my shipment,ORDER,track_order
BCZ,I don't know anything about your rfund policy and I want information about it,REFUNDS,check_refund_policy
BIL,where do I check the ticket delivery options?,DELIVERY,delivery_options
BL,i want to leave an opinion,FEEDBACK,review
BILQZ,can you tell me the nbumber of client service?,CONTACT,contact_customer_service
BIPLQD,"please, can you ask an agent how to change my purchase?",ORDER,change_order
BILQCZ,"I want tyo notify a problem paying, what should I do?",PAYMENT,payment_issue
BIMLC,"I want to view cancellation penalties, what can I do?",CANCELLATION_FEE,check_cancellation_fee
BL,i want to see the email of client service,CONTACT,contact_customer_service
BIMSLC,"I can't find my bill, what do I have to do to check it?",INVOICES,check_invoices
